Date,RELIANCE.NS,ONGC.NS,IOC.NS,GAIL.NS,BPCL.NS,HINDPETRO.NS,IGL.NS,PETRONET.NS,OIL.NS,GSPL.NS,GUJGASLTD.NS,MGL.NS,CASTROLIND.NS,ATGL.NS,MRPL.NS,GULFOILLUB.NS,ALPHAGEO.NS,SELAN.NS,HINDOILEXP.NS
2020-10-08,2038.8021240234375,54.252838134765625,35.6406364440918,47.035858154296875,131.60597229003906,94.36043548583984,368.17266845703125,182.2810821533203,47.74831008911133,188.5569305419922,299.77197265625,760.751220703125,90.09593963623047,190.22242736816406,25.992429733276367,590.5034790039062,154.4356231689453,101.95543670654297,71.5
2020-10-09,2033.5213623046875,55.719154357910156,36.11269760131836,47.90222930908203,133.52169799804688,97.14791870117188,359.4571228027344,180.58412170410156,48.09801483154297,186.57211303710938,296.8354187011719,748.085693359375,90.01460266113281,188.4241180419922,26.04166030883789,581.2682495117188,155.8323974609375,100.8846664428711,71.5999984741211
2020-10-12,2036.799072265625,54.80766296386719,35.73504638671875,46.8681755065918,132.20584106445312,94.60881805419922,350.6002502441406,180.8324432373047,47.18340301513672,183.95797729492188,287.14483642578125,735.510986328125,88.83501434326172,193.46939086914062,25.64783477783203,582.2236328125,150.71092224121094,99.1155776977539,70.44999694824219
2020-10-13,2076.5419921875,54.76803207397461,35.92387390136719,46.47690963745117,131.23828125,94.05684661865234,344.3345031738281,178.4732208251953,46.75299835205078,177.90672302246094,278.18841552734375,715.4003295898438,87.20800018310547,190.5720977783203,25.50014877319336,581.3138427734375,148.70887756347656,100.23290252685547,69.55000305175781
2020-10-14,2082.733154296875,53.10358810424805,35.23938751220703,46.19742965698242,128.83877563476562,93.06329345703125,351.5425109863281,174.0030975341797,45.381072998046875,173.54981994628906,289.9345703125,719.7129516601562,86.069091796875,185.57675170898438,25.25400733947754,582.9060668945312,149.8262939453125,98.18447875976562,68.9000015258789
2020-10-15,2008.98388671875,52.35062789916992,35.19218063354492,46.001792907714844,126.41990661621094,90.55180358886719,352.90869140625,180.58412170410156,45.70387649536133,178.68128967285156,285.7744445800781,739.5965576171875,84.84882354736328,181.28077697753906,24.958641052246094,572.3970336914062,146.52061462402344,96.6481704711914,67.5999984741211
2020-10-16,1981.0321044921875,53.301734924316406,35.026954650878906,46.95201873779297,131.5672607421875,93.44967651367188,355.1700744628906,184.30918884277344,46.53778839111328,181.39224243164062,285.62762451171875,745.2710571289062,87.08598327636719,184.477783203125,25.20478057861328,579.3121337890625,148.1967315673828,97.67237854003906,67.9000015258789
2020-10-19,1981.39599609375,54.926544189453125,36.25431442260742,48.880401611328125,134.1602783203125,97.06511688232422,355.0286865234375,184.51617431640625,47.96351623535156,181.29542541503906,283.5231018066406,750.4463500976562,90.78742980957031,185.72662353515625,25.697063446044922,578.6296997070312,149.6400604248047,97.85859680175781,67.9000015258789
2020-10-20,1962.9134521484375,53.420631408691406,35.42820739746094,47.90222930908203,132.88314819335938,95.1332015991211,354.7460632324219,183.3986358642578,47.613807678222656,181.6826934814453,281.76116943359375,753.1246948242188,90.78742980957031,191.0216827392578,26.337026596069336,580.6769409179688,148.010498046875,97.43960571289062,67.1500015258789
2020-10-21,1934.415283203125,53.7376594543457,35.87666320800781,48.99219512939453,135.28265380859375,98.05868530273438,358.703369140625,186.00619506835938,47.26409912109375,183.81275939941406,280.7823181152344,746.1336059570312,91.07215118408203,192.72007751464844,26.632394790649414,574.17138671875,147.40524291992188,97.95170593261719,68.80000305175781
