Date,LT.NS,ADANIPORTS.NS,POWERGRID.NS,NTPC.NS,GAIL.NS,NHPC.NS,IRB.NS,DBL.NS,KNRCON.NS,ASHOKA.NS,SADBHAV.NS,PNCINFRA.NS,NCC.NS,RELINFRA.NS,GAYAPROJ.NS,HGINFRA.NS,JKIL.NS,MEP.NS,RPPINFRA.NS,MONTECARLO.NS
2022-11-01,1986.2021484375,832.6063232421875,157.93069458007812,170.0390625,85.40298461914062,40.23390197753906,23.277639389038086,217.0848388671875,226.34341430664062,74.4000015258789,12.350000381469727,269.03424072265625,71.71015167236328,140.64999389648438,12.850000381469727,563.2283325195312,262.8331298828125,14.649999618530273,36.0,708.785400390625
2022-11-02,1975.2628173828125,824.298095703125,156.68821716308594,169.2440643310547,85.3095474243164,39.06158447265625,23.134105682373047,217.63467407226562,233.23712158203125,74.0,12.199999809265137,261.4945068359375,71.75873565673828,140.5500030517578,12.850000381469727,568.6161499023438,255.8447265625,14.699999809265137,35.20000076293945,705.3756713867188
2022-11-03,1970.7496337890625,824.7431640625,153.1622314453125,166.62518310546875,84.60875701904297,38.92090606689453,23.0202693939209,219.93399047851562,234.5359344482422,73.94999694824219,12.050000190734863,262.2934265136719,71.66156768798828,140.14999389648438,12.75,565.2737426757812,253.96133422851562,15.050000190734863,35.900001525878906,715.55615234375
2022-11-04,1977.02880859375,853.4758911132812,151.88613891601562,165.5028076171875,82.73998260498047,41.07796859741211,23.47562599182129,222.4832305908203,232.73757934570312,74.05000305175781,12.149999618530273,256.7010192871094,70.83563995361328,147.14999389648438,12.5,568.6660766601562,267.9381103515625,15.800000190734863,35.79999923706055,711.318359375
2022-11-07,1979.5306396484375,843.6840209960938,153.12864685058594,164.47396850585938,84.60875701904297,41.171756744384766,25.381193161010742,225.982177734375,230.0400390625,74.05000305175781,12.350000381469727,262.0937194824219,69.91253662109375,152.9499969482422,12.100000381469727,580.1900634765625,271.11016845703125,16.549999237060547,36.04999923706055,705.47314453125
2022-11-09,1965.64794921875,881.0711669921875,146.91619873046875,162.18246459960938,82.78670501708984,40.89039611816406,25.8365478515625,221.4835205078125,233.4868927001953,74.1500015258789,12.399999618530273,259.2974853515625,70.05828857421875,146.64999389648438,12.0,568.4166870117188,272.8944091796875,17.350000381469727,36.5,659.3442993164062
2022-11-10,1940.286376953125,883.6922607421875,144.33045959472656,160.96658325195312,82.41294860839844,40.843505859375,25.26240348815918,220.5338134765625,227.842041015625,73.80000305175781,12.149999618530273,260.84539794921875,69.86396026611328,142.85000610351562,11.649999618530273,533.4954833984375,266.94683837890625,16.850000381469727,36.70000076293945,669.91455078125
2022-11-11,1973.1043701171875,884.7307739257812,143.75958251953125,160.358642578125,83.02029418945312,42.062713623046875,25.005029678344727,224.3826446533203,228.69126892089844,74.8499984741211,12.050000190734863,260.296142578125,69.42669677734375,146.1999969482422,12.199999809265137,540.9785766601562,270.3667297363281,16.850000381469727,37.79999923706055,664.4589233398438
2022-11-14,1962.0179443359375,885.2747802734375,145.34124755859375,160.358642578125,82.31950378417969,40.89039611816406,24.376436233520508,230.38084411621094,239.081787109375,73.0999984741211,12.149999618530273,256.8008728027344,71.07855224609375,153.39999389648438,11.75,567.6683349609375,282.70794677734375,17.0,37.099998474121094,676.1007080078125
2022-11-15,1958.8292236328125,896.995361328125,148.53895568847656,160.96658325195312,84.00140380859375,40.280799865722656,25.331697463989258,230.13092041015625,238.53228759765625,73.5,12.050000190734863,253.5552978515625,76.03413391113281,151.35000610351562,11.649999618530273,583.9815063476562,286.0782165527344,16.649999618530273,35.95000076293945,674.8829345703125
